post_id,post_date,post_type,reach,click,likes,comments,share,reaction
44,2024-03-25,short,3933,118,393.0,248,77,42
45,2024-01-21,promo,164,11,16.0,5,13,21
46,2024-03-09,promo,7280,728,437.0,67,16,334
47,2024-03-25,article,503,40,15.0,102,46,404
48,2024-03-28,article,643,0,6.0,292,42,26
49,2024-03-20,promo,8503,85,595.0,187,51,207
50,2024-02-12,promo,2637,237,132.0,271,21,152
51,2024-02-16,short,576,52,6.0,125,50,318
52,2024-02-10,promo,2475,0,248.0,253,64,19
53,2024-02-22,promo,166730,6669,6669.0,123,2,210
54,2024-01-23,article,691,41,69.0,200,88,329
55,2024-03-23,article,7557,680,453.0,203,68,147
56,2024-02-09,short,2040,0,184.0,64,16,195
57,2024-01-02,short,669,54,13.0,141,75,338
58,2024-03-24,promo,3375,338,68.0,170,29,127
59,2024-03-17,promo,7967,319,319.0,73,55,431
60,2024-03-05,article,8409,168,505.0,30,87,215
61,2024-01-02,short,975,88,98.0,99,62,342
62,2024-02-27,promo,893,18,36.0,267,32,104
63,2024-03-04,short,2446,196,220.0,121,41,454
64,2024-02-19,article,956188,95619,57371.0,22,6,471
65,2024-01-14,short,586713,58671,11734.0,295,26,32
66,2024-03-26,promo,4767,48,191.0,243,9,424
67,2024-01-11,short,4189,251,251.0,150,63,6
68,2024-03-03,promo,1015,71,30.0,110,52,109
69,2024-02-09,promo,54313,0,4345.0,192,52,145
70,2024-01-16,promo,550,55,50.0,71,3,335
71,2024-03-26,article,914910,54895,36596.0,25,79,16
72,2024-01-09,short,2603,234,26.0,1,100,28
73,2024-01-13,article,383159,26821,0.0,62,67,429
74,2024-02-27,promo,2418,24,193.0,282,77,405
75,2024-01-26,short,1465,0,146.0,48,86,17
76,2024-01-27,article,3314,199,265.0,117,95,4
77,2024-01-05,short,1110,67,33.0,230,66,297
78,2024-02-03,promo,3986,199,319.0,114,53,209
79,2024-01-31,short,673,7,61.0,247,22,230
80,2024-03-22,article,482,43,19.0,93,40,8
81,2024-01-22,promo,6818,68,614.0,259,94,312
82,2024-03-07,short,2063,144,0.0,49,80,176
83,2024-01-01,promo,2512,25,176.0,81,67,458
84,2024-01-13,short,886,9,0.0,179,7,319
85,2024-02-05,short,1088,22,44.0,300,67,272
86,2024-03-15,article,2285,91,160.0,262,5,338
87,2024-03-26,short,3117,187,281.0,230,92,92
88,2024-03-01,promo,1263,126,101.0,43,36,11
89,2024-01-05,article,953,76,19.0,166,83,389
90,2024-01-06,short,3153,189,63.0,196,41,88
91,2024-03-03,article,3530,35,71.0,57,76,459
92,2024-03-20,short,2924,58,234.0,45,74,139
93,2024-02-17,promo,152203,3044,4566.0,45,51,426
94,2024-02-05,short,3753,150,225.0,201,40,12
95,2024-02-10,article,1389,125,56.0,120,75,256
96,2024-03-05,short,1555,0,140.0,263,85,457
97,2024-02-05,article,813,49,49.0,73,6,231
98,2024-02-23,short,9679,194,774.0,170,6,93
99,2024-02-02,short,3621,145,326.0,36,97,285
100,2024-01-05,article,135565,6778,5423.0,252,17,154
101,2024-03-23,short,7128,71,713.0,94,68,10
102,2024-01-30,article,4230,296,381.0,148,89,432
103,2024-01-31,short,696,70,35.0,24,40,475
104,2024-03-31,promo,501,35,30.0,56,53,239
105,2024-02-12,article,2290,160,46.0,155,79,369
106,2024-01-09,short,606,55,30.0,231,66,173
107,2024-03-06,article,623098,0,43617.0,161,13,82
108,2024-01-12,article,502749,25137,30165.0,231,84,407
109,2024-01-20,article,912821,18256,27385.0,27,51,236
110,2024-01-28,short,519,0,0.0,288,10,335
111,2024-02-03,short,4951,198,198.0,187,60,206
112,2024-01-30,short,213984,4280,6420.0,269,16,461
113,2024-03-22,short,381965,3820,0.0,220,93,430
114,2024-03-24,short,6324,379,190.0,225,38,310
115,2024-03-25,promo,420,17,42.0,91,8,326
116,2024-01-18,promo,348,24,3.0,183,32,174
117,2024-02-09,short,6939,139,555.0,212,84,79
118,2024-02-11,promo,1053,11,74.0,137,21,265
119,2024-01-15,article,202897,12174,6087.0,21,42,118
120,2024-02-21,short,4760,381,190.0,1,10,447
121,2024-01-26,short,5623,281,450.0,45,50,454
122,2024-02-15,article,8357,418,501.0,133,8,459
123,2024-01-06,article,800551,72050,40028.0,94,37,389
124,2024-02-10,short,6179,371,309.0,144,38,104
125,2024-02-28,article,441701,17668,30919.0,165,84,454
126,2024-03-18,article,4733,142,189.0,256,25,459
127,2024-01-12,article,9965,498,797.0,285,49,307
128,2024-01-22,article,631,25,50.0,106,30,474
129,2024-02-14,article,2082,0,0.0,44,61,360
130,2024-01-21,short,3503,175,350.0,202,90,134
131,2024-03-24,short,700670,56054,0.0,6,71,447
132,2024-02-06,article,262281,26228,7868.0,19,20,422
133,2024-01-08,promo,383281,30662,34495.0,207,92,88
134,2024-02-16,short,974125,97412,58448.0,123,67,215
135,2024-01-10,promo,2401,0,24.0,157,76,84
136,2024-03-02,short,461,9,9.0,212,51,472
137,2024-01-10,promo,3124,31,219.0,35,26,474
138,2024-02-18,promo,8484,594,339.0,102,69,106
139,2024-01-10,short,507,51,51.0,104,80,384
140,2024-01-14,short,236,0,17.0,278,43,233
141,2024-03-02,promo,473581,23679,18943.0,49,12,8
142,2024-01-04,article,678,14,54.0,57,0,102
143,2024-01-18,short,7917,713,633.0,150,25,2
144,2024-01-23,article,3395,0,238.0,54,87,475
145,2024-01-22,short,2455,147,98.0,39,50,19
146,2024-01-23,promo,7706,462,385.0,239,30,96
147,2024-03-04,promo,168,10,17.0,92,50,440
148,2024-03-27,article,4684,328,375.0,134,33,490
149,2024-01-06,promo,3686,147,74.0,243,56,126
150,2024-03-26,promo,4527,453,0.0,263,38,21
151,2024-03-13,short,665,60,60.0,11,93,420
152,2024-02-29,short,7654,765,77.0,128,20,302
153,2024-02-01,short,1462,44,132.0,89,93,110
154,2024-01-14,short,5987,359,479.0,0,22,30
155,2024-01-21,short,622,19,56.0,190,87,53
156,2024-01-06,short,70705,2828,0.0,81,3,113
157,2024-01-03,promo,575,34,17.0,42,39,22
158,2024-01-03,promo,5750,58,345.0,8,97,366
159,2024-01-13,article,3704,74,111.0,139,13,5
160,2024-01-15,article,515,0,0.0,278,1,113
161,2024-03-15,short,845264,84526,16905.0,135,81,79
162,2024-03-04,article,652273,58705,6523.0,119,81,319
163,2024-02-29,short,1292,26,13.0,9,67,348
164,2024-01-03,short,3237,65,129.0,21,27,290
165,2024-01-13,article,724,7,72.0,199,86,166
166,2024-03-18,article,9797,392,686.0,255,59,13
167,2024-02-12,short,82,8,1.0,85,54,435
168,2024-02-29,short,2289,114,160.0,168,20,67
169,2024-03-20,promo,3473,139,313.0,7,70,273
170,2024-02-11,article,6894,345,345.0,80,16,166
171,2024-03-14,promo,967802,96780,29034.0,32,41,84
172,2024-01-02,promo,3379,101,203.0,4,62,228
173,2024-01-12,article,705,7,49.0,203,73,94
174,2024-01-11,short,74,6,7.0,235,70,367
175,2024-02-16,promo,673651,20210,40419.0,242,76,304
176,2024-01-02,short,561,17,39.0,265,90,167
177,2024-03-29,short,3650,146,292.0,37,26,341
178,2024-02-06,promo,5352,482,268.0,237,85,379
179,2024-01-31,promo,6123,184,490.0,174,100,486
180,2024-03-03,article,7895,237,237.0,128,78,498
181,2024-03-01,promo,6879,550,275.0,77,92,39
182,2024-02-19,article,660691,13214,6607.0,253,30,213
183,2024-02-05,article,4713,424,47.0,6,29,66
184,2024-03-13,article,7958,796,796.0,274,41,202
185,2024-01-06,promo,848,8,8.0,232,12,48
186,2024-03-03,article,819,33,25.0,283,44,156
187,2024-03-25,article,875934,87593,61315.0,143,63,223
188,2024-02-13,article,4540,45,136.0,84,94,452
189,2024-02-28,short,113,2,11.0,180,75,303
190,2024-02-20,promo,784798,47088,23544.0,208,64,171
191,2024-01-31,article,742499,22275,59400.0,273,41,398
192,2024-01-23,short,9388,563,469.0,107,58,28
193,2024-01-18,promo,6524,457,196.0,45,95,288
194,2024-03-09,promo,79,5,3.0,36,90,44
195,2024-03-11,short,1386,97,69.0,72,11,460
196,2024-03-08,promo,4182,209,293.0,126,24,354
197,2024-02-28,article,947252,75780,37890.0,125,79,287
198,2024-01-11,article,405,32,36.0,298,49,258
199,2024-03-23,promo,592,41,47.0,220,20,328
200,2024-01-12,short,837,0,50.0,64,86,81
201,2024-03-14,article,658967,26359,19769.0,292,0,172
202,2024-03-04,short,2008,40,0.0,126,15,262
203,2024-03-30,promo,736379,36819,44183.0,26,71,387
204,2024-01-19,promo,8473,678,593.0,60,22,204
205,2024-03-04,article,5465,273,546.0,173,36,404
206,2024-02-08,article,134,1,8.0,30,47,171
207,2024-02-07,short,845690,50741,25371.0,108,27,162
208,2024-01-27,promo,615,6,49.0,52,73,374
209,2024-01-09,promo,3298,33,198.0,203,21,369
210,2024-02-05,article,1537,31,61.0,44,76,319
211,2024-03-14,short,419,34,25.0,92,18,251
212,2024-02-19,article,3684,74,184.0,33,73,453
213,2024-03-05,promo,418,21,42.0,148,82,255
214,2024-03-03,article,1911,153,76.0,171,76,247
215,2024-03-25,promo,759991,38000,75999.0,6,57,252
216,2024-01-31,short,2680,268,27.0,105,68,424
217,2024-01-08,article,463,23,42.0,233,53,140
218,2024-02-24,promo,2296,46,92.0,252,6,293
219,2024-03-06,promo,904,90,54.0,169,58,285
220,2024-01-06,short,621,56,6.0,140,77,304
221,2024-02-14,promo,275109,2751,16507.0,79,26,495
222,2024-01-20,article,8804,0,792.0,30,4,80
223,2024-02-12,promo,1944,117,19.0,221,43,193
224,2024-01-05,short,956,38,96.0,168,66,155
225,2024-03-28,short,688,55,41.0,202,15,106
226,2024-01-14,short,339,24,27.0,62,51,121
227,2024-02-16,article,8850,0,266.0,250,73,195
228,2024-02-11,article,274,27,19.0,173,57,323
229,2024-03-23,article,782,63,55.0,151,48,229
230,2024-01-22,promo,436,17,0.0,27,57,478
231,2024-01-10,article,4503,270,405.0,38,69,480
232,2024-02-21,short,3335,334,300.0,120,91,303
233,2024-01-26,article,1087,43,65.0,11,27,442
234,2024-03-23,article,9307,93,651.0,181,84,103
235,2024-02-17,article,7971,319,399.0,126,83,498
236,2024-03-07,article,3237,129,162.0,242,71,249
237,2024-03-29,promo,689160,20675,55133.0,129,44,321
238,2024-03-08,short,6965,70,279.0,198,33,95
239,2024-01-20,promo,802493,72224,72224.0,281,75,382
240,2024-03-12,article,706,0,42.0,224,75,67
241,2024-01-09,short,3990,359,319.0,84,24,249
242,2024-03-29,article,2842,171,171.0,250,17,209
243,2024-02-02,short,957,10,29.0,141,67,333
244,2024-01-19,short,6810,204,613.0,147,77,154
245,2024-01-20,short,459,18,23.0,190,20,108
246,2024-02-20,promo,739,52,7.0,187,91,191
247,2024-03-31,article,924554,46228,9246.0,259,45,106
248,2024-03-21,promo,8961,627,,220,25,310
249,2024-03-20,article,510777,25539,20431.0,274,92,349
250,2024-02-18,short,3704,370,259.0,233,70,355
251,2024-03-02,promo,5087,458,356.0,213,96,42
252,2024-01-09,promo,4828,338,241.0,188,48,239
253,2024-03-25,short,689,14,55.0,191,47,83
254,2024-03-19,promo,133,9,8.0,172,54,335
255,2024-03-18,short,1058,63,53.0,94,23,103
256,2024-01-05,short,2404,0,240.0,60,85,85
257,2024-03-07,article,898,36,54.0,1,87,414
258,2024-02-16,promo,749,67,15.0,11,79,341
259,2024-01-22,short,6299,252,252.0,27,62,388
260,2024-01-02,short,422750,33820,0.0,263,42,452
261,2024-03-16,article,589,59,12.0,95,17,457
262,2024-02-18,article,4475,90,45.0,158,48,120
263,2024-03-30,article,8890,622,711.0,76,79,86
264,2024-03-03,short,794,48,56.0,84,78,286
265,2024-03-17,short,9221,184,922.0,34,62,177
266,2024-03-15,short,8855,531,531.0,221,83,312
267,2024-03-18,promo,4767,191,381.0,287,8,270
268,2024-02-24,article,6213,559,62.0,102,67,415
269,2024-02-25,short,2967,237,89.0,12,74,383
270,2024-01-24,article,498,5,15.0,26,18,420
271,2024-03-14,promo,832,0,8.0,70,28,127
272,2024-02-14,promo,3247,325,130.0,212,73,491
273,2024-01-15,short,2763,249,138.0,12,100,69
274,2024-01-07,short,608279,36497,48662.0,226,41,295
275,2024-03-07,promo,379851,22791,7597.0,92,35,489
276,2024-03-10,promo,3496,280,0.0,192,70,448
277,2024-03-18,article,8641,173,691.0,130,47,454
278,2024-02-06,short,96,4,5.0,268,21,183
279,2024-02-22,article,570,23,57.0,131,3,231
280,2024-03-01,short,358703,28696,7174.0,23,2,106
281,2024-03-27,article,3304,297,132.0,232,58,182
282,2024-02-19,short,3044,0,30.0,160,51,286
283,2024-03-04,article,811810,81181,24354.0,176,17,412
284,2024-01-20,short,564,17,51.0,262,6,29
285,2024-03-04,article,2814,141,281.0,162,97,456
286,2024-03-05,article,33685,1347,3368.0,272,36,138
287,2024-03-01,article,908770,63614,45438.0,160,25,488
288,2024-03-14,article,1513,76,45.0,165,59,256
289,2024-01-29,promo,63099,4417,1262.0,159,43,138
290,2024-03-28,promo,301,9,21.0,77,83,295
291,2024-01-21,short,5198,104,416.0,33,2,117
292,2024-02-26,short,91,1,4.0,278,53,5
293,2024-01-23,promo,7750,698,78.0,166,44,259
294,2024-02-21,article,3864,348,386.0,46,12,438
295,2024-03-27,short,834,50,33.0,239,81,479
296,2024-02-19,short,2111,127,148.0,55,25,403
297,2024-03-12,short,599,12,60.0,5,85,214
298,2024-03-06,promo,2696,135,0.0,11,84,56
299,2024-01-15,promo,978877,58733,39155.0,115,85,77
300,2024-03-13,short,775,54,8.0,184,13,78
301,2024-01-31,article,2608,52,130.0,187,69,268
302,2024-01-30,promo,647305,12946,19419.0,273,22,351
303,2024-02-19,short,960,67,77.0,232,80,318
304,2024-02-04,promo,558,22,17.0,288,48,437
305,2024-02-08,promo,1019,51,92.0,196,15,42
306,2024-02-06,article,544083,32645,27204.0,116,10,254
307,2024-03-02,promo,1245,112,37.0,23,33,247
308,2024-03-28,promo,8513,0,341.0,244,42,482
309,2024-01-14,short,3341,33,234.0,225,87,40
310,2024-02-21,article,4273,342,85.0,56,41,37
311,2024-02-22,promo,514632,15439,36024.0,123,84,405
312,2024-03-17,article,290862,29086,29086.0,137,66,210
313,2024-01-26,promo,8658,260,693.0,199,80,145
314,2024-01-13,article,831762,24953,83176.0,18,31,354
315,2024-03-10,promo,2949,206,177.0,77,18,310
316,2024-02-12,article,369,26,7.0,205,89,121
317,2024-01-11,short,737,74,59.0,299,11,50
318,2024-01-05,promo,5356,161,54.0,287,57,152
319,2024-01-01,short,641691,25668,57752.0,161,80,292
320,2024-02-24,article,5693,285,342.0,53,47,241
321,2024-02-21,article,1538,77,15.0,42,17,488
322,2024-01-01,article,8065,403,81.0,209,89,56
323,2024-01-25,promo,2186,44,219.0,106,19,366
324,2024-03-17,promo,375,26,26.0,202,9,183
325,2024-03-06,short,2048,102,82.0,11,38,168
326,2024-01-02,short,307015,18421,12281.0,239,73,182
327,2024-03-14,article,373,15,7.0,206,90,478
328,2024-02-08,short,910,36,36.0,176,8,475
329,2024-03-08,article,3672,147,330.0,213,74,417
330,2024-01-26,short,5756,518,173.0,181,13,232
331,2024-03-06,short,6479,583,324.0,95,9,233
332,2024-03-01,short,990,50,0.0,225,60,209
333,2024-02-01,promo,1915,134,77.0,200,99,178
334,2024-02-24,article,709174,42550,56734.0,199,7,491
335,2024-02-20,promo,290,23,26.0,61,57,278
336,2024-02-18,article,9126,365,274.0,205,2,160
337,2024-01-07,short,622347,43564,49788.0,55,70,276
338,2024-03-08,short,665729,13315,39944.0,120,82,122
339,2024-01-08,promo,964,87,48.0,295,43,329
340,2024-03-25,short,2501,75,125.0,122,89,242
341,2024-01-23,short,734309,58745,73431.0,221,64,122
342,2024-03-20,promo,383,23,23.0,98,29,12
343,2024-02-18,short,467783,4678,14033.0,193,98,475
344,2024-02-16,short,812945,16259,56906.0,93,77,232
345,2024-02-16,short,962,19,77.0,247,4,365
346,2024-01-07,short,5660,283,57.0,135,31,480
347,2024-03-26,article,1619,49,49.0,287,11,87
348,2024-01-06,article,5633,0,338.0,7,94,268
349,2024-02-10,short,392,35,35.0,186,99,303
350,2024-02-11,promo,1236,49,99.0,152,95,479
351,2024-03-23,article,1356,54,0.0,49,63,104
352,2024-03-12,short,7403,296,444.0,86,45,121
353,2024-02-16,article,379,23,19.0,97,68,131
354,2024-01-27,article,2015,60,202.0,226,79,85
355,2024-01-25,short,314590,9438,9438.0,248,72,449
356,2024-02-20,article,2643,185,159.0,286,9,242
357,2024-03-28,promo,844,59,42.0,26,33,26
358,2024-03-02,short,693,69,55.0,90,49,446
359,2024-02-28,promo,3429,137,274.0,164,38,118
360,2024-02-16,short,480192,28812,19208.0,153,69,427
361,2024-01-03,short,530,42,37.0,23,9,208
362,2024-02-26,promo,172,0,5.0,217,31,388
363,2024-01-23,promo,157,0,16.0,56,99,5
364,2024-02-11,promo,3324,100,199.0,234,28,141
365,2024-02-09,article,2598,78,78.0,293,13,410
366,2024-01-21,promo,9586,863,383.0,206,79,175
367,2024-01-01,short,8183,0,327.0,215,45,218
368,2024-01-20,promo,576,23,17.0,46,83,465
369,2024-01-01,article,3364,235,303.0,19,50,87
370,2024-03-25,short,558742,39112,33525.0,105,87,179
371,2024-03-11,article,714588,57167,21438.0,53,58,245
372,2024-03-20,short,144,12,13.0,247,95,330
373,2024-03-30,article,1337,94,120.0,101,60,79
374,2024-03-16,short,345,21,3.0,43,57,186
375,2024-02-22,short,8177,736,736.0,121,84,176
376,2024-03-30,article,228604,16002,18288.0,28,71,403
377,2024-01-19,article,833982,50039,66719.0,64,5,78
378,2024-01-26,article,2249,135,22.0,9,37,271
379,2024-03-31,promo,1347,135,54.0,275,63,332
380,2024-03-05,short,3681,147,294.0,17,88,304
381,2024-01-18,short,391,4,35.0,70,86,499
382,2024-03-31,article,493,30,0.0,119,18,179
383,2024-02-23,short,177773,1778,5333.0,200,71,227
384,2024-01-03,short,3603,216,324.0,271,84,183
385,2024-02-10,short,8348,250,501.0,286,73,335
386,2024-03-10,article,7362,147,368.0,217,94,363
387,2024-01-07,short,16393,1639,164.0,223,39,268
388,2024-01-02,article,653,7,33.0,234,73,293
389,2024-02-07,article,3077,154,308.0,99,33,81
390,2024-02-18,article,990,69,89.0,251,52,376
391,2024-02-06,short,6498,520,650.0,295,18,137
392,2024-01-23,promo,651055,65106,32553.0,150,53,408
393,2024-03-28,article,143695,10059,10059.0,286,47,174
394,2024-03-15,short,9403,564,188.0,192,62,73
395,2024-01-19,promo,4378,219,175.0,112,60,211
396,2024-01-07,article,8518,596,426.0,139,88,179
397,2024-03-12,article,8167,653,82.0,252,63,409
398,2024-01-26,promo,5098,204,255.0,141,73,423
399,2024-02-03,promo,526,0,53.0,172,19,25
400,2024-03-20,article,171,10,3.0,206,95,322
401,2024-03-16,promo,3063,276,123.0,211,94,358
402,2024-03-23,article,123613,11125,11125.0,73,86,5
403,2024-01-13,short,4605,0,460.0,210,0,296
404,2024-02-10,short,2490,224,0.0,125,49,421
405,2024-03-16,article,3593,180,287.0,280,17,17
406,2024-02-04,article,9191,827,827.0,19,98,350
407,2024-03-08,short,7801,390,780.0,34,92,199
408,2024-02-22,promo,137789,12401,13779.0,251,5,220
409,2024-01-19,promo,19608,1569,1176.0,207,23,466
410,2024-03-12,promo,7666,77,690.0,174,39,472
411,2024-03-13,short,9520,476,95.0,221,62,236
412,2024-02-19,article,7379,74,221.0,205,65,110
413,2024-03-07,promo,9995,400,400.0,3,74,234
414,2024-01-14,short,117151,0,10544.0,234,7,333
415,2024-03-21,promo,116,6,10.0,242,27,195
416,2024-03-14,short,9211,553,92.0,127,22,15
417,2024-01-31,short,1371,96,41.0,36,3,56
418,2024-03-24,promo,912,73,73.0,203,83,470
419,2024-02-01,short,573,52,57.0,130,44,337
420,2024-03-30,promo,7705,0,616.0,193,1,439
421,2024-03-25,article,1385,97,0.0,192,73,372
422,2024-03-11,promo,8779,263,439.0,299,69,219
423,2024-02-12,article,466151,4662,32631.0,7,59,80
424,2024-02-18,article,3882,388,311.0,204,50,28
425,2024-03-23,promo,4458,134,357.0,298,80,379
426,2024-03-18,short,4364,393,0.0,216,87,125
427,2024-02-16,promo,2983,209,89.0,222,61,292
428,2024-03-29,promo,2323,186,93.0,149,51,77
429,2024-01-25,article,809742,72877,8097.0,218,24,430
430,2024-01-01,short,209543,2095,12573.0,81,80,213
431,2024-01-18,short,500994,10020,50099.0,294,94,388
432,2024-01-14,promo,2725,218,272.0,12,42,462
433,2024-02-29,promo,3777,38,227.0,36,64,282
434,2024-01-27,article,459,28,18.0,289,49,403
435,2024-02-10,promo,596274,23851,35776.0,186,39,51
436,2024-03-04,article,3808,190,305.0,5,70,295
437,2024-02-19,article,9383,94,188.0,113,26,9
438,2024-02-23,short,4877,488,98.0,20,37,352
439,2024-03-24,article,368562,22114,29485.0,221,7,493
440,2024-02-02,article,338,14,14.0,252,60,119
441,2024-03-14,article,3678,331,37.0,228,0,273
442,2024-03-10,article,2940,0,235.0,130,61,100
443,2024-02-17,article,1284,90,64.0,24,20,356
444,2024-01-25,short,701581,42095,56126.0,94,14,106
445,2024-02-26,promo,8136,407,814.0,60,83,1
446,2024-01-19,promo,2036,163,163.0,47,74,328
447,2024-03-17,short,874879,26246,43744.0,214,49,190
448,2024-02-02,short,2948,0,59.0,191,22,163
449,2024-01-18,short,7466,672,224.0,96,99,355
450,2024-03-29,article,931117,55867,0.0,45,98,257
451,2024-01-02,short,667597,60084,26704.0,172,28,347
452,2024-03-10,short,958209,57493,76657.0,188,27,474
453,2024-02-11,promo,1591,159,32.0,53,88,281
454,2024-03-22,promo,755,23,76.0,112,84,319
455,2024-02-08,promo,363514,0,21811.0,106,46,359
456,2024-03-18,short,6414,513,641.0,298,79,404
457,2024-01-29,short,4230,381,42.0,242,79,321
458,2024-03-24,short,18196,1820,364.0,46,0,20
459,2024-01-07,promo,879,0,70.0,45,68,283
460,2024-03-02,promo,887214,62105,8872.0,49,1,177
461,2024-01-28,article,2793,168,223.0,34,72,74
462,2024-03-21,promo,1552,47,31.0,66,22,99
463,2024-01-03,promo,8302,830,830.0,275,40,237
464,2024-02-23,article,3287,164,33.0,95,93,382
465,2024-03-17,promo,33420,1003,1671.0,238,25,169
466,2024-01-27,article,7618,609,381.0,231,0,89
467,2024-02-05,article,600,18,48.0,214,83,256
468,2024-02-01,article,7299,292,219.0,166,100,102
469,2024-01-20,article,2189,22,88.0,155,46,151
470,2024-02-11,article,9424,942,94.0,86,98,316
471,2024-01-17,article,345,7,10.0,221,93,175
472,2024-03-22,promo,4628,185,324.0,276,3,374
473,2024-02-29,promo,1011,30,10.0,223,72,307
474,2024-01-06,short,275498,19285,22040.0,282,63,154
475,2024-03-08,promo,771,23,0.0,144,35,59
476,2024-01-02,article,683913,61552,27357.0,246,30,245
477,2024-03-03,promo,4568,228,183.0,178,23,401
478,2024-01-02,article,3513,316,246.0,140,87,141
479,2024-02-23,article,159074,15907,1591.0,186,92,21
480,2024-03-19,short,58,2,6.0,138,37,29
481,2024-01-19,article,3528,71,176.0,244,65,252
482,2024-01-26,short,6021,60,120.0,200,92,454
483,2024-03-19,promo,6954,209,556.0,143,74,381
484,2024-01-07,article,947043,66293,56823.0,35,55,134
485,2024-03-15,promo,3603,72,108.0,297,89,117
486,2024-01-11,short,4167,292,42.0,143,2,118
487,2024-03-09,promo,1946,175,175.0,148,22,241
488,2024-03-07,article,469,23,14.0,156,2,227
489,2024-03-25,promo,965,58,10.0,18,11,252
490,2024-01-22,short,2917,88,263.0,111,80,295
491,2024-03-24,short,583133,34988,17494.0,151,39,143
492,2024-03-01,promo,393,39,4.0,187,9,299
493,2024-01-03,article,826792,82679,33072.0,200,89,5
494,2024-02-20,promo,7241,145,724.0,53,39,19
495,2024-03-03,article,1307,78,78.0,28,41,323
496,2024-01-10,promo,192833,1928,1928.0,187,13,453
497,2024-01-01,short,2621,157,52.0,83,68,499
498,2024-03-03,article,4870,146,292.0,77,22,127
499,2024-01-13,article,417036,37533,41704.0,254,69,451
500,2024-03-23,article,58,2,4.0,65,19,447
501,2024-02-27,article,2466,148,222.0,137,56,172
502,2024-02-27,article,9426,283,283.0,166,80,297
503,2024-03-01,short,1613,145,97.0,121,20,135
504,2024-02-28,short,6920,69,138.0,193,49,348
505,2024-03-17,promo,8078,162,0.0,61,28,242
506,2024-02-20,promo,3602,288,144.0,189,37,347
507,2024-01-07,article,437486,39374,4375.0,170,56,393
508,2024-02-07,promo,8615,517,86.0,188,32,88
509,2024-02-14,article,4968,348,248.0,149,92,328
510,2024-01-07,short,372728,0,11182.0,184,10,296
511,2024-01-14,article,4830,48,483.0,141,35,358
512,2024-02-26,promo,2114,21,211.0,163,22,433
513,2024-01-09,short,17929,717,359.0,105,2,474
514,2024-03-21,short,4125,289,371.0,285,1,65
515,2024-01-27,promo,3776,378,76.0,3,63,277
516,2024-03-28,promo,862825,69026,77654.0,166,10,160
517,2024-02-13,promo,4401,264,264.0,96,74,311
518,2024-02-15,article,3643,291,255.0,214,76,456
519,2024-01-17,short,1411,113,0.0,134,98,260
520,2024-01-31,promo,373454,0,22407.0,232,41,122
521,2024-01-27,promo,359,32,36.0,0,77,37
522,2024-02-25,short,861,9,26.0,72,57,237
523,2024-03-03,promo,1798,18,54.0,22,74,402
524,2024-01-23,short,6623,132,397.0,188,20,127
525,2024-02-13,promo,732,0,0.0,99,71,156
526,2024-03-20,article,359,36,14.0,223,59,474
527,2024-02-24,promo,4230,296,338.0,211,90,192
